DQN game 96, Run time: 0.64 seconds, Score: 0, Best: 1, Epsilon: 0.9536
DQN game 97, Run time: 0.29 seconds, Score: 0, Best: 1, Epsilon: 0.9531
DQN game 98, Run time: 0.81 seconds, Score: 0, Best: 1, Epsilon: 0.9526
DQN game 99, Run time: 0.24 seconds, Score: 0, Best: 1, Epsilon: 0.9522
DQN game 100, Run time: 0.56 seconds, Score: 0, Best: 1, Epsilon: 0.9517
DQN game 101, Run time: 0.34 seconds, Score: 0, Best: 1, Epsilon: 0.9512
DQN game 102, Run time: 0.14 seconds, Score: 1, Best: 1, Epsilon: 0.9507
DQN game 103, Run time: 0.81 seconds, Score: 0, Best: 1, Epsilon: 0.9503
DQN game 104, Run time: 0.37 seconds, Score: 0, Best: 1, Epsilon: 0.9498
DQN game 105, Run time: 0.15 seconds, Score: 0, Best: 1, Epsilon: 0.9493
DQN game 106, Run time: 0.23 seconds, Score: 0, Best: 1, Epsilon: 0.9488
DQN game 107, Run time: 0.13 seconds, Score: 0, Best: 1, Epsilon: 0.9484
DQN game 108, Run time: 0.08 seconds, Score: 0, Best: 1, Epsilon: 0.9479
DQN game 109, Run time: 0.21 seconds, Score: 0, Best: 1, Epsilon: 0.9474
DQN game 110, Run time: 0.71 seconds, Score: 0, Best: 1, Epsilon: 0.9469
DQN game 111, Run time: 0.57 seconds, Score: 0, Best: 1, Epsilon: 0.9465
DQN game 112, Run time: 0.27 seconds, Score: 0, Best: 1, Epsilon: 0.9460
DQN game 113, Run time: 0.16 seconds, Score: 0, Best: 1, Epsilon: 0.9455
DQN game 114, Run time: 0.50 seconds, Score: 0, Best: 1, Epsilon: 0.9451
DQN game 115, Run time: 0.61 seconds, Score: 0, Best: 1, Epsilon: 0.9446
DQN game 116, Run time: 0.37 seconds, Score: 1, Best: 1, Epsilon: 0.9441
DQN game 117, Run time: 0.11 seconds, Score: 0, Best: 1, Epsilon: 0.9436
DQN game 118, Run time: 0.67 seconds, Score: 0, Best: 1, Epsilon: 0.9432
DQN game 119, Run time: 0.37 seconds, Score: 0, Best: 1, Epsilon: 0.9427
DQN game 120, Run time: 0.40 seconds, Score: 0, Best: 1, Epsilon: 0.9422
DQN game 121, Run time: 0.14 seconds, Score: 0, Best: 1, Epsilon: 0.9418
DQN game 122, Run time: 0.18 seconds, Score: 0, Best: 1, Epsilon: 0.9413
DQN game 123, Run time: 0.36 seconds, Score: 0, Best: 1, Epsilon: 0.9408
DQN game 124, Run time: 0.57 seconds, Score: 0, Best: 1, Epsilon: 0.9403
DQN game 125, Run time: 0.33 seconds, Score: 0, Best: 1, Epsilon: 0.9399
DQN game 126, Run time: 0.35 seconds, Score: 0, Best: 1, Epsilon: 0.9394
DQN game 127, Run time: 0.26 seconds, Score: 0, Best: 1, Epsilon: 0.9389
DQN game 128, Run time: 0.89 seconds, Score: 0, Best: 1, Epsilon: 0.9385
DQN game 129, Run time: 0.22 seconds, Score: 0, Best: 1, Epsilon: 0.9380
DQN game 130, Run time: 0.43 seconds, Score: 0, Best: 1, Epsilon: 0.9375
DQN game 131, Run time: 0.29 seconds, Score: 0, Best: 1, Epsilon: 0.9371
DQN game 132, Run time: 0.53 seconds, Score: 0, Best: 1, Epsilon: 0.9366
DQN game 133, Run time: 0.36 seconds, Score: 0, Best: 1, Epsilon: 0.9361
DQN game 134, Run time: 0.83 seconds, Score: 0, Best: 1, Epsilon: 0.9356
DQN game 135, Run time: 0.23 seconds, Score: 0, Best: 1, Epsilon: 0.9352
DQN game 136, Run time: 0.11 seconds, Score: 0, Best: 1, Epsilon: 0.9347
DQN game 137, Run time: 0.19 seconds, Score: 0, Best: 1, Epsilon: 0.9342
DQN game 138, Run time: 0.34 seconds, Score: 0, Best: 1, Epsilon: 0.9338
DQN game 139, Run time: 0.27 seconds, Score: 1, Best: 1, Epsilon: 0.9333
DQN game 140, Run time: 0.13 seconds, Score: 0, Best: 1, Epsilon: 0.9328
DQN game 141, Run time: 0.40 seconds, Score: 0, Best: 1, Epsilon: 0.9324
DQN game 142, Run time: 0.11 seconds, Score: 0, Best: 1, Epsilon: 0.9319
DQN game 143, Run time: 0.32 seconds, Score: 0, Best: 1, Epsilon: 0.9314
DQN game 144, Run time: 0.50 seconds, Score: 0, Best: 1, Epsilon: 0.9310
DQN game 145, Run time: 0.07 seconds, Score: 1, Best: 1, Epsilon: 0.9305
DQN game 146, Run time: 0.62 seconds, Score: 0, Best: 1, Epsilon: 0.9300
DQN game 147, Run time: 0.18 seconds, Score: 0, Best: 1, Epsilon: 0.9296
DQN game 148, Run time: 0.22 seconds, Score: 0, Best: 1, Epsilon: 0.9291
DQN game 149, Run time: 0.49 seconds, Score: 0, Best: 1, Epsilon: 0.9287
DQN game 150, Run time: 0.29 seconds, Score: 0, Best: 1, Epsilon: 0.9282
DQN game 151, Run time: 0.35 seconds, Score: 0, Best: 1, Epsilon: 0.9277
DQN game 152, Run time: 0.15 seconds, Score: 0, Best: 1, Epsilon: 0.9273
